Symbol,Fund Name,Asset Class,Mgmt Fee (%),AUM ($),Prev. Close ($),Avg Daily Vol (30D),Inception Date
AAPU,SavvyLong (2X) AAPL ETF,-,-,2885000,,8954,-
ABHI,Ninepoint Barrick HighShares ETF,Single Stock ETF,-,14782900,,11991,-
ABXU,SavvyLong (2X) Barrick ETF,Single Stock ETF,-,5310000,,5514,-
ACAA,Arrow Long/Short Alternative Fund,Alternative,-,20420400,,530,-
ADIV,Arrow EC Equity Advantage Alternative Fund,Equity,-,3545100,,62,-
AEME,Harvest Agnico Eagle Enhanced High Income Shares ETF,Single Stock ETF,-,13845000,,32517,-
AGCC,Global X Silver Covered Call ETF,Commodity,-,19953134.19,,59590,-
AGG,Evolve Canadian Aggregate Bond Enhanced Yield Fund,Fixed Income,-,47394250,,26558,-
AGGU,iShares US Aggregate Bond Index ETF,-,-,-,,-,-
AGSL,AGF Global Select Fund,Equity,-,1190500,,11405,-
AIGO,Global X Artificial Intelligence & Technology Index ETF,Equity,-,18156250,,14396,-
ALPU,SavvyLong (2X) GOOGL ETF,Single Stock ETF,-,5400000,,24724,-
ALZ,Allianz CDR (CAD Hedged),-,-,2884000,,5796,-
AMAX,Hamilton Gold Producer YIELD MAXIMIZER TM ETF,Equity,-,562173965.79,,213506,-
AMDY,Harvest AMD Enhanced High Income Shares ETF,Single Stock ETF,-,84405000,,39150,-
AMGR,AGF American Growth Fund,Equity,-,1253500,,763,-
AMHE,Harvest Amazon Enhanced High Income Shares ETF,Single Stock ETF,-,107171875,,59415,-
AMHE.U,Harvest Amazon Enhanced High Income Shares ETF,Single Stock ETF,-,2372000,,5785,-
AMZH,Harvest Amazon High Income Shares ETF,Single Stock ETF,-,24948000,,34120,-
AMZH.U,Harvest Amazon High Income Shares ETF,Single Stock ETF,-,3874000,,4263,-
AMZU,SavvyLong (2X) AMZN ETF,Single Stock ETF,-,7998500,,45877,-
APLE,Harvest Apple Enhanced High Income Shares ETF,Single Stock ETF,-,90999250,,32810,-
ARB,Accelerate Arbitrage Fund,Alternative,-,44816000,,12493,-
ARTI,Evolve Artificial Intelligence Fund,Equity,-,20640000,,9477,-
ASML,ASML CDR (CAD Hedged),-,-,88886000,,54775,-
ATSX,Accelerate Canadian Long Short Equity Fund,Alternative,-,6135000,,1672,-
AUGB.F,First Trust Vest U.S. Equity Buffer ETF - August,Equity,-,23143500,,477,-
AVGY,Harvest Broadcom Enhanced High Income Shares ETF,Single Stock ETF,-,106480000.00000001,,41152,-
BAAA,Brompton Wellington Square AAA CLO ETF,Fixed Income,-,105878849.99999999,,38571,-
BAAA.U,Brompton Wellington Square AAA CLO ETF,Fixed Income,-,17310400,,6506,-
BANK,Evolve Canadian Banks and Lifecos Enhanced Yield Index Fund,Equity,-,880782000,,1223277,-
BASE,Evolve Global Materials & Mining Enhanced Yield Index ETF,Equity,-,72152500,,31127,-
BASE.B,Evolve Global Materials & Mining Enhanced Yield Index ETF,Equity,-,17875000,,2027,-
BBBB,Brompton Wellington Square Investment Grade CLO ETF,Fixed Income,-,31130674.11,,8747,-
BBBB.U,Brompton Wellington Square Investment Grade CLO ETF,Fixed Income,-,3088278.9000000004,,1188,-
BCEE,Harvest BCE Enhanced High Income Shares ETF,Single Stock ETF,-,9775000,,11019,-
BCHI,Ninepoint BCE HighShares ETF,Single Stock ETF,-,12864000,,6149,-
BDIV,Brompton Global Dividend Growth ETF,Equity,-,122678867.49,,2555,-
BENZ,Mercedes-Benz CDR (CAD Hedged),-,-,1244000,,483,-
BEPR,Brompton Flaherty & Crumrine Enhanced Investment Grade Preferred ETF,Preferred Share,-,68323213.2,,16785,-
BEPR.U,Brompton Flaherty & Crumrine Enhanced Investment Grade Preferred ETF,Preferred Share,-,4137000,,1367,-
BESG,Invesco ESG Canadian Core Plus Bond ETF,Fixed Income,-,110991500,,10496,-
BFIN,Brompton North American Financials Dividend ETF,Equity,-,79468750,,1427,-
BFIN.U,Brompton North American Financials Dividend ETF,Equity,-,873000,,161,-
BGC,Bristol Gate Concentrated Canadian Equity ETF,Equity,-,13440000,,373,-
BGIE,Brompton Global Infrastructure ETF,Equity,-,65542399.99999999,,14162,-
BGU,Bristol Gate Concentrated US Equity ETF,Equity,-,94945500,,8363,-
BGU.U,Bristol Gate Concentrated US Equity ETF,Equity,-,23458500.000000004,,921,-
BIGY,Evolve US Equity UltraYield ETF,Equity,-,210182400,,193783,-
BITI,BetaPro Inverse Bitcoin ETF,Leverage/Inverse,-,31880853.700000003,,278104,-
BITI.U,BetaPro Inverse Bitcoin ETF,Leverage/Inverse,-,22012340.48,,32283,-
BIVC,Capstone Biblically Informed Canadian Equity Fund,Equity,-,1126500,,261,-
BIVU,Capstone Biblically Informed U.S. Equity Fund,Equity,-,1000000,,34,-
BKCC,Global X Equal Weight Canadian Bank Covered Call ETF,Equity,-,323217442.74,,66287,-
BKCL,Global X Enhanced Equal Weight Canadian Banks Covered Call ETF,Equity,-,168744384,,113725,-
BLCK,First Trust Indxx Innovative Transaction and Process ETF,Equity,-,1905750,,60,-
BLKY,Harvest Block Enhanced High Income Shares ETF,Single Stock ETF,-,1579500,,14114,-
BLOV,Brompton North American Low Volatility Dividend ETF,Equity,-,20004750,,1394,-
BMAX,Brompton Enhanced Multi-Asset Income ETF,Equity,-,137089800,,64704,-
BMW,BMW CDR (CAD Hedged),-,-,1263500,,216,-
BNC,Purpose Canadian Financial Income Fund,Equity,-,4282500,,658,-
BND,Purpose Global Bond Fund,Fixed Income,-,1419968250,,253253,-
BND.U,Purpose Global Bond Fund,Fixed Income,-,6584500.000000001,,1153,-
